event_date,custom_session_id,revenue
2020-11-03,4513859.3844267868_3107532923,7.0
2020-11-03,4513859.3844267868_3107532923,7.0
2020-11-03,53709875.3635794172_965453642,44.0
2020-11-03,53709875.3635794172_965453642,92.0
2020-11-03,53709875.3635794172_965453642,55.0
2020-11-03,53709875.3635794172_965453642,44.0
2020-11-03,53709875.3635794172_965453642,44.0
2020-11-03,65608889.8290462049_9942564250,16.0
2020-11-03,65608889.8290462049_9942564250,24.0
2020-11-03,65608889.8290462049_9942564250,45.0
2020-11-03,65608889.8290462049_9942564250,180.0
2020-11-04,54064006.4612083157_307359982,60.0
2020-11-04,64111634.0525729328_6819903079,18.0
2020-11-04,64111634.0525729328_6819903079,19.0
2020-11-04,2798155.8136359339_7236399771,2.0
2020-11-04,2798155.8136359339_7236399771,3.0
2020-11-04,2798155.8136359339_7236399771,4.0
2020-11-04,24561891.8214764170_9808018008,10.0
2020-11-04,24561891.8214764170_9808018008,6.0
2020-11-04,24561891.8214764170_9808018008,14.0
2020-11-04,24561891.8214764170_9808018008,15.0
2020-11-04,24561891.8214764170_9808018008,14.0
2020-11-04,24561891.8214764170_9808018008,1.0
2020-11-04,24561891.8214764170_9808018008,14.0
2020-11-04,24561891.8214764170_9808018008,10.0
2020-11-04,24561891.8214764170_9808018008,6.0
2020-11-04,1697570.3789044764_8964070338,48.0
2020-11-04,3641698.1854230862_8307178207,32.0
2020-11-04,3641698.1854230862_8307178207,12.0
2020-11-04,10295267.8818269139_6815878876,13.0
2020-11-04,10295267.8818269139_6815878876,10.0
2020-11-04,10295267.8818269139_6815878876,16.0
2020-11-04,10295267.8818269139_6815878876,20.0
2020-11-04,10295267.8818269139_6815878876,48.0
2020-11-04,69465148.8614142616_1878948287,15.0
2020-11-04,69465148.8614142616_1878948287,22.0
2020-11-04,69465148.8614142616_1878948287,33.0
2020-11-04,69465148.8614142616_1878948287,60.0
2020-11-04,69465148.8614142616_1878948287,12.0
2020-11-04,4651836.9525447719_3421972255,17.0
2020-11-04,4651836.9525447719_3421972255,25.0
2020-11-04,4651836.9525447719_3421972255,2.0
2020-11-04,4651836.9525447719_3421972255,12.0
2020-11-04,4651836.9525447719_3421972255,8.0
2020-11-04,4651836.9525447719_3421972255,23.0
2020-11-04,7446712.2726872272_8926518452,14.0
2020-11-04,7446712.2726872272_8926518452,6.0
2020-11-04,7446712.2726872272_8926518452,3.0
2020-11-04,7446712.2726872272_8926518452,6.0
2020-11-04,7446712.2726872272_8926518452,11.0
2020-11-04,7446712.2726872272_8926518452,20.0
2020-11-04,61145313.5871571070_8182193170,14.0
