frequency_segment,customers,pct_customer,segment_purchases,segment_revenue,pct_revenue,avg_cust_revenue
1 purchase,3744,92.08,3744.0,297506.0,82.09,79.46
2-4 purchases,322,7.92,702.0,64897.0,17.91,201.54
